experiment_id,signal_type,degradation_level,actual_sqi,predicted_sqi,forecast_error,reconstruction_method,sqi_before,sqi_after,sqi_gain,latency_ms
0,rf,0.24230438250579173,86.47044373773545,85.77427673339844,0.6961670043370134,none,86.47044373773545,86.47044373773545,0.0,0.007916752000028282
1,telemetry,0.24174842540756064,85.46741147768532,86.07218933105469,0.6047778533693702,none,85.46741147768532,85.46741147768532,0.0,0.007916752000028282
2,telemetry,0.2502498881926441,84.51270024691355,86.07218933105469,1.5594890841411342,none,84.51270024691355,84.51270024691355,0.0,0.007916752000028282
3,multi,0.26140017807674915,86.94189144011804,85.77427673339844,1.167614706719604,none,86.94189144011804,86.94189144011804,0.0,0.007916752000028282
4,multi,0.24853668428387854,87.2424880575392,86.07218933105469,1.1702987264845177,none,87.2424880575392,87.2424880575392,0.0,0.007916752000028282
5,rf,0.22806610637626643,87.20053804028115,87.26382446289062,0.06328642260947959,none,87.20053804028115,87.20053804028115,0.0,0.007916752000028282
6,chirp,0.1903417451141168,87.52534102247971,87.56172180175781,0.03638077927810457,none,87.52534102247971,87.52534102247971,0.0,0.007916752000028282
7,rf,0.15230213450873303,88.22969016830038,87.26382446289062,0.9658657054097546,none,88.22969016830038,88.22969016830038,0.0,0.007916752000028282
8,single,0.1059299336275126,90.72768001916872,87.56172180175781,3.1659582174109033,none,90.72768001916872,90.72768001916872,0.0,0.007916752000028282
9,multi,0.11006443725915792,91.56134417913707,89.05126190185547,2.5100822772815974,none,91.56134417913707,91.56134417913707,0.0,0.007916752000028282
10,chirp,0.12172738026447612,90.3677756868466,59.260498046875,31.1072776399716,none,90.3677756868466,90.3677756868466,0.0,0.007916752000028282
11,rf,0.1563360691083272,89.03405008144613,61.643760681152344,27.39028940029378,savitzky_golay,89.03405008144613,73.73613247154587,-15.297917609900253,0.007916752000028282
12,rf,0.1597962580662636,88.46276356161225,77.432861328125,11.029902233487249,none,88.46276356161225,88.46276356161225,0.0,0.007916752000028282
